Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,"WHO Region",NewCases,CaseFatalityRate
"New South Wales",Australia,-33.8688,151.209,2020/02/21,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/21,5,0,1,4,"Western Pacific",5,0
"South Australia",Australia,-34.9285,138.601,2020/02/21,2,0,2,0,"Western Pacific",-3,0
Victoria,Australia,-37.8136,144.963,2020/02/21,4,0,4,0,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/21,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/21,2,0,2,0,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/21,5,0,1,4,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/21,4,0,4,0,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/22,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/22,5,0,1,4,"Western Pacific",5,0
"South Australia",Australia,-34.9285,138.601,2020/02/22,2,0,2,0,"Western Pacific",-3,0
Victoria,Australia,-37.8136,144.963,2020/02/22,4,0,4,0,"Western Pacific",2,0
"South Australia",Australia,-34.9285,138.601,2020/02/22,2,0,2,0,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/22,5,0,1,4,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/22,4,0,4,0,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/22,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/23,2,0,2,0,"Western Pacific",-2,0
Queensland,Australia,-27.4698,153.025,2020/02/23,5,0,1,4,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/23,4,0,4,0,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/23,4,0,4,0,"Western Pacific",0,0
Queensland,Australia,-27.4698,153.025,2020/02/23,5,0,1,4,"Western Pacific",5,0
"New South Wales",Australia,-33.8688,151.209,2020/02/23,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/23,2,0,2,0,"Western Pacific",-2,0
Victoria,Australia,-37.8136,144.963,2020/02/23,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/24,5,0,1,4,"Western Pacific",1,0
"South Australia",Australia,-34.9285,138.601,2020/02/24,2,0,2,0,"Western Pacific",2,0
Victoria,Australia,-37.8136,144.963,2020/02/24,4,0,4,0,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/24,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/24,2,0,2,0,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/24,5,0,1,4,"Western Pacific",3,0
Victoria,Australia,-37.8136,144.963,2020/02/24,4,0,4,0,"Western Pacific",-1,0
"New South Wales",Australia,-33.8688,151.209,2020/02/24,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/25,2,0,2,0,"Western Pacific",2,0
"New South Wales",Australia,-33.8688,151.209,2020/02/25,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/25,5,0,1,4,"Western Pacific",5,0
Victoria,Australia,-37.8136,144.963,2020/02/25,4,0,4,0,"Western Pacific",-1,0
